presentedcolor,selection,Accuracy,RT,inversion,subid,age,sex,date
blue,yellow,0,1.307208999991417,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,1.3001227999920957,Yes,nik,44,Male,2024-11-02_15:47
brown,skyblue,0,1.2593964999978198,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.3468223999952897,Yes,nik,44,Male,2024-11-02_15:47
brown,skyblue,0,2.3387641000008443,Yes,nik,44,Male,2024-11-02_15:47
orange,skyblue,0,1.7783481999940705,Yes,nik,44,Male,2024-11-02_15:47
yellow,blue,0,2.1617862999992212,Yes,nik,44,Male,2024-11-02_15:47
yellow,blue,0,0.579031400004169,Yes,nik,44,Male,2024-11-02_15:47
blue,yellow,0,1.1147578999953112,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.1040039000072284,Yes,nik,44,Male,2024-11-02_15:47
green,magenta,0,1.0575911000050837,Yes,nik,44,Male,2024-11-02_15:47
blue,yellow,0,1.3876083999930415,Yes,nik,44,Male,2024-11-02_15:47
red,cyan,0,1.523484899997129,Yes,nik,44,Male,2024-11-02_15:47
yellow,blue,0,1.1784277000115253,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.2668128999939654,Yes,nik,44,Male,2024-11-02_15:47
orange,skyblue,0,1.6914513999945484,Yes,nik,44,Male,2024-11-02_15:47
orange,skyblue,0,1.1549284999928204,Yes,nik,44,Male,2024-11-02_15:47
brown,lightblue,0,1.2668295999901602,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,1.274357099988265,Yes,nik,44,Male,2024-11-02_15:47
brown,lightblue,0,1.3377142999961507,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.234661499998765,Yes,nik,44,Male,2024-11-02_15:47
lightblue,orange,0,2.5712125999998534,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,2.0828362999891397,Yes,nik,44,Male,2024-11-02_15:47
green,magenta,0,1.050419499995769,Yes,nik,44,Male,2024-11-02_15:47
green,magenta,0,2.3855467999965185,Yes,nik,44,Male,2024-11-02_15:47
magenta,green,0,1.2117412999941735,Yes,nik,44,Male,2024-11-02_15:47
orange,skyblue,0,1.594841500002076,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.4266894000029424,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,0.7036989000043832,Yes,nik,44,Male,2024-11-02_15:47
green,magenta,0,1.8023130000074161,Yes,nik,44,Male,2024-11-02_15:47
blue,yellow,0,1.387259199997061,Yes,nik,44,Male,2024-11-02_15:47
green,magenta,0,1.2269709999964107,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,1.1629607999930158,Yes,nik,44,Male,2024-11-02_15:47
yellow,blue,0,1.1140574000019114,Yes,nik,44,Male,2024-11-02_15:47
red,cyan,0,2.170883800004958,Yes,nik,44,Male,2024-11-02_15:47
blue,yellow,0,1.419373100012308,Yes,nik,44,Male,2024-11-02_15:47
blue,yellow,0,1.0033081000001403,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,2.114704999999958,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.2750719000032404,Yes,nik,44,Male,2024-11-02_15:47
green,magenta,0,2.1229049999965355,Yes,nik,44,Male,2024-11-02_15:47
blue,yellow,0,1.0894644999934826,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,0.9953535999957239,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,1.139695899997605,Yes,nik,44,Male,2024-11-02_15:47
green,magenta,0,1.0035775999858743,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,0.9876292000117246,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,0.6903429000085453,Yes,nik,44,Male,2024-11-02_15:47
green,magenta,0,1.9150838999921689,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,2.105043299990939,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,0.9742256000026828,Yes,nik,44,Male,2024-11-02_15:47
blue,yellow,0,1.2118803000048501,Yes,nik,44,Male,2024-11-02_15:47
yellow,blue,0,1.2995156999968458,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,1.8098614000045927,Yes,nik,44,Male,2024-11-02_15:47
red,cyan,0,1.7705437000113307,Yes,nik,44,Male,2024-11-02_15:47
blue,yellow,0,1.2424843999906443,Yes,nik,44,Male,2024-11-02_15:47
green,magenta,0,1.8354484000010416,Yes,nik,44,Male,2024-11-02_15:47
skyblue,orange,0,1.3389127999980701,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.2110906999878353,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,1.2352722000068752,Yes,nik,44,Male,2024-11-02_15:47
blue,yellow,0,1.1312036000017542,Yes,nik,44,Male,2024-11-02_15:47
red,cyan,0,1.411127800005488,Yes,nik,44,Male,2024-11-02_15:47
orange,skyblue,0,2.987844400005997,Yes,nik,44,Male,2024-11-02_15:47
brown,lightblue,0,2.04283750000468,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,1.8101607999997213,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,1.3304346000077203,Yes,nik,44,Male,2024-11-02_15:47
skyblue,orange,0,2.402418599987868,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,1.2507824000058463,Yes,nik,44,Male,2024-11-02_15:47
lightblue,brown,0,1.3579974999884143,Yes,nik,44,Male,2024-11-02_15:47
brown,lightblue,0,2.85150099999737,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,1.2985443000070518,Yes,nik,44,Male,2024-11-02_15:47
orange,lightblue,0,4.159065200001351,Yes,nik,44,Male,2024-11-02_15:47
yellow,blue,0,1.046713699994143,Yes,nik,44,Male,2024-11-02_15:47
skyblue,orange,0,4.499477799996384,Yes,nik,44,Male,2024-11-02_15:47
brown,lightblue,0,2.971092799998587,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,1.1710566000110703,Yes,nik,44,Male,2024-11-02_15:47
orange,skyblue,0,2.259500999993179,Yes,nik,44,Male,2024-11-02_15:47
red,cyan,0,1.4901529000053415,Yes,nik,44,Male,2024-11-02_15:47
red,cyan,0,0.9154721999948379,Yes,nik,44,Male,2024-11-02_15:47
skyblue,orange,0,2.2508086999878287,Yes,nik,44,Male,2024-11-02_15:47
red,cyan,0,1.730534100002842,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,1.13905130000785,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,0.619640699995216,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,1.287070299993502,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.0589879999897676,Yes,nik,44,Male,2024-11-02_15:47
lightblue,orange,0,2.7463673999882303,Yes,nik,44,Male,2024-11-02_15:47
magenta,green,0,1.2027604000031715,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,1.4032680000091204,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,1.1070513000013307,Yes,nik,44,Male,2024-11-02_15:47
red,cyan,0,1.2028578000026755,Yes,nik,44,Male,2024-11-02_15:47
orange,skyblue,0,2.0270261999976356,Yes,nik,44,Male,2024-11-02_15:47
lightblue,orange,0,1.5148872999998275,Yes,nik,44,Male,2024-11-02_15:47
brown,lightblue,0,1.298859500006074,Yes,nik,44,Male,2024-11-02_15:47
brown,lightblue,0,0.651271299997461,Yes,nik,44,Male,2024-11-02_15:47
white,black,0,1.0732816999952774,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.2419071000040276,Yes,nik,44,Male,2024-11-02_15:47
cyan,red,0,1.3875661000056425,Yes,nik,44,Male,2024-11-02_15:47
brown,lightblue,0,1.1874894999928074,Yes,nik,44,Male,2024-11-02_15:47
lightblue,orange,0,1.2586131999996724,Yes,nik,44,Male,2024-11-02_15:47
yellow,blue,0,1.1684489000035683,Yes,nik,44,Male,2024-11-02_15:47
black,white,0,1.2984991999983322,Yes,nik,44,Male,2024-11-02_15:47
orange,lightblue,0,2.7621937000076286,Yes,nik,44,Male,2024-11-02_15:47
