presentedcolor,selection,Accuracy,RT,inversion,subid,age,sex,date
yellow,yellow,1,2.3399459999927785,No,nik,44,Male,2024-11-02_15:42
magenta,magenta,1,1.4206447000033222,No,nik,44,Male,2024-11-02_15:42
orange,orange,1,1.5626061000075424,No,nik,44,Male,2024-11-02_15:42
lightblue,lightblue,1,2.7917605999973603,No,nik,44,Male,2024-11-02_15:42
skyblue,skyblue,1,1.1540633999975398,No,nik,44,Male,2024-11-02_15:42
brown,brown,1,1.9701856000028783,No,nik,44,Male,2024-11-02_15:42
black,black,1,1.6988406000018585,No,nik,44,Male,2024-11-02_15:42
green,green,1,1.0992622000048868,No,nik,44,Male,2024-11-02_15:42
red,red,1,2.067696900005103,No,nik,44,Male,2024-11-02_15:42
blue,blue,1,0.9395494999916991,No,nik,44,Male,2024-11-02_15:42
cyan,cyan,1,1.5070741999952588,No,nik,44,Male,2024-11-02_15:42
skyblue,skyblue,1,1.2588329999998678,No,nik,44,Male,2024-11-02_15:42
brown,brown,1,2.4467370999918785,No,nik,44,Male,2024-11-02_15:42
black,black,1,3.501780199992936,No,nik,44,Male,2024-11-02_15:42
blue,blue,1,1.2673923000111245,No,nik,44,Male,2024-11-02_15:42
cyan,cyan,1,1.2268072000006214,No,nik,44,Male,2024-11-02_15:42
magenta,magenta,1,1.370272100000875,No,nik,44,Male,2024-11-02_15:42
orange,orange,1,1.506602200010093,No,nik,44,Male,2024-11-02_15:42
yellow,yellow,1,1.8838424999994459,No,nik,44,Male,2024-11-02_15:42
magenta,magenta,1,1.5954798000020673,No,nik,44,Male,2024-11-02_15:42
blue,blue,1,1.1944566999882227,No,nik,44,Male,2024-11-02_15:42
skyblue,skyblue,1,1.3115065000019968,No,nik,44,Male,2024-11-02_15:42
yellow,yellow,1,1.6337651999929221,No,nik,44,Male,2024-11-02_15:42
lightblue,lightblue,1,2.427424900000915,No,nik,44,Male,2024-11-02_15:42
brown,brown,1,1.49884079999174,No,nik,44,Male,2024-11-02_15:42
blue,blue,1,1.0343327000009594,No,nik,44,Male,2024-11-02_15:42
orange,orange,1,1.355876800007536,No,nik,44,Male,2024-11-02_15:42
magenta,magenta,1,1.8022616999951424,No,nik,44,Male,2024-11-02_15:42
black,black,1,1.2026628000021446,No,nik,44,Male,2024-11-02_15:42
green,green,1,1.043164100003196,No,nik,44,Male,2024-11-02_15:42
black,black,1,1.083665900005144,No,nik,44,Male,2024-11-02_15:42
green,green,1,1.0510578999965219,No,nik,44,Male,2024-11-02_15:42
skyblue,skyblue,1,1.6569578999915393,No,nik,44,Male,2024-11-02_15:42
brown,brown,1,1.4195103999954881,No,nik,44,Male,2024-11-02_15:42
yellow,yellow,1,2.27432910000789,No,nik,44,Male,2024-11-02_15:42
brown,brown,1,1.026328799998737,No,nik,44,Male,2024-11-02_15:42
orange,orange,1,1.2186454000038793,No,nik,44,Male,2024-11-02_15:42
cyan,cyan,1,3.3952256000047782,No,nik,44,Male,2024-11-02_15:42
lightblue,skyblue,0,2.299077200004831,No,nik,44,Male,2024-11-02_15:42
skyblue,skyblue,1,2.374494699994102,No,nik,44,Male,2024-11-02_15:42
brown,brown,1,1.6751328999962425,No,nik,44,Male,2024-11-02_15:42
cyan,cyan,1,1.2180164000019431,No,nik,44,Male,2024-11-02_15:42
yellow,yellow,1,1.3634001000027638,No,nik,44,Male,2024-11-02_15:42
skyblue,skyblue,1,2.211247799990815,No,nik,44,Male,2024-11-02_15:42
red,red,1,2.2657469999976456,No,nik,44,Male,2024-11-02_15:42
skyblue,skyblue,1,2.0844218999991426,No,nik,44,Male,2024-11-02_15:42
yellow,yellow,1,1.2983191999956034,No,nik,44,Male,2024-11-02_15:42
orange,orange,1,2.6909144000092056,No,nik,44,Male,2024-11-02_15:42
magenta,magenta,1,1.2514339000044856,No,nik,44,Male,2024-11-02_15:42
green,green,1,1.1469729999953415,No,nik,44,Male,2024-11-02_15:42
blue,blue,1,0.9060959999915212,No,nik,44,Male,2024-11-02_15:42
red,red,1,1.4593812999955844,No,nik,44,Male,2024-11-02_15:42
skyblue,skyblue,1,1.5870167999964906,No,nik,44,Male,2024-11-02_15:42
blue,blue,1,1.3548272000043653,No,nik,44,Male,2024-11-02_15:42
black,black,1,0.9547482000052696,No,nik,44,Male,2024-11-02_15:42
